Reference, Value, Footprint, Datasheet
SW1,RESETn,Buttons_Switches_SMD:SW_SPST_EVQPE1,
D1,LED_GREEN,LEDs:LED_0805,
R4,1k,Resistors_SMD:R_0603_HandSoldering,
U2,AWCU300,mp3:CU300B,DOCUMENTATION
U3,W25Q64,Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm,DOCUMENTATION
C7,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R17,51k,Resistors_SMD:R_0603_HandSoldering,
R19,51k,Resistors_SMD:R_0603_HandSoldering,
R20,51k,Resistors_SMD:R_0603_HandSoldering,
C1,10uF 10V,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
C2,22uF 10V,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering,
C4,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C6,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
U1,AP1117D33,TO_SOT_Packages_SMD:SOT-223,
P1,CONN_01X16,Socket_Strips:Socket_Strip_Straight_1x16,
P2,CONN_01X16,Socket_Strips:Socket_Strip_Straight_1x16,
P4,USB_OTG,Connect:USB_Micro-B,
R1,1k,Resistors_SMD:R_0603_HandSoldering,
D2,LED_RED,LEDs:LED_0805,
R16,1.8k,Resistors_SMD:R_0603_HandSoldering,
C3,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
P3,CONN_01X04,Socket_Strips:Socket_Strip_Straight_1x04,
R2,10k,Resistors_SMD:R_0603_HandSoldering,
R3,10k,Resistors_SMD:R_0603_HandSoldering,
SW2,Boot,Buttons_Switches_SMD:SW_SPST_EVQPE1,
U4,CP2102,QFN-28-1EP_5x5mm_Pitch0.5mm,
R5,10k,Resistors_SMD:R_0603_HandSoldering,
C5,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C8,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C9,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
